unique_round_id,unique_fight_id,unique_event_id,round_number,fighter_name,knockdowns,total_strikes_landed,total_strikes_attempted,takedowns,takedowns_attempted,submission_attempts,control_time,reversals,guard_passes,significant_strikes_head_landed,significant_strikes_head_attempted,significant_strikes_body_landed,significant_strikes_body_attempted,significant_strikes_leg_landed,significant_strikes_leg_attempted,significant_strikes_standing_landed,significant_strikes_standing_attempted,significant_strikes_clinch_landed,significant_strikes_clinch_attempted,significant_strikes_ground_landed,significant_strikes_ground_attempted,fight_id,fight_title,winning_fighter_name,losing_fighter_name,weight_class,method_of_victory,specific_victory_details,ending_round,ending_time,fight_url
2427,360,34,1,"Johnny Eduardo",0,14,35,0,0,0,0:25,0,0,3,20,0,1,9,12,12,33,0,0,0,0,360,"UFC Fight Night: Bader vs. Nogueira","Johnny Eduardo","Manvel Gamburyan",Bantamweight,KO/TKO,Punch,2,0:46,02b39d683f027517
2428,360,34,1,"Manvel Gamburyan",0,12,24,0,2,0,0:00,0,0,6,17,3,3,1,2,7,19,3,3,0,0,360,"UFC Fight Night: Bader vs. Nogueira","Johnny Eduardo","Manvel Gamburyan",Bantamweight,KO/TKO,Punch,2,0:46,02b39d683f027517
2429,360,34,2,"Johnny Eduardo",1,14,21,0,0,0,0:06,0,0,11,18,0,0,3,3,4,9,0,0,10,12,360,"UFC Fight Night: Bader vs. Nogueira","Johnny Eduardo","Manvel Gamburyan",Bantamweight,KO/TKO,Punch,2,0:46,02b39d683f027517
2430,360,34,2,"Manvel Gamburyan",0,1,2,0,1,0,0:00,0,0,0,1,0,0,1,1,1,2,0,0,0,0,360,"UFC Fight Night: Bader vs. Nogueira","Johnny Eduardo","Manvel Gamburyan",Bantamweight,KO/TKO,Punch,2,0:46,02b39d683f027517
2631,2935,272,1,"Takeya Mizugaki",0,37,68,0,0,0,1:36,0,0,22,51,6,6,0,0,19,41,9,16,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
2632,2935,272,1,"George Roop",0,38,69,0,0,0,1:34,0,0,12,39,6,8,0,1,12,35,6,13,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
2633,2935,272,2,"Takeya Mizugaki",0,27,60,0,0,0,0:34,0,0,16,49,8,8,0,0,15,39,9,18,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
2634,2935,272,2,"George Roop",0,28,51,0,0,0,1:42,0,0,7,28,6,6,5,5,14,33,4,6,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
2635,2935,272,3,"Takeya Mizugaki",0,24,52,0,1,0,0:50,0,0,9,35,9,11,0,0,8,22,10,24,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
2636,2935,272,3,"George Roop",0,31,45,0,2,0,2:36,0,0,4,13,5,9,2,3,4,13,7,12,0,0,2935,"UFC Fight Night: Barnett vs Nelson","Takeya Mizugaki","George Roop",Bantamweight,U-DEC,NULL,3,5:00,e7e244a0bf244e61
